a|يك(0.5)
liberal|ليبرال(0.75)
liberalisation|ازاد سازي(0.75)
liberalism|ليبراليسم(0.75)
liberated|ازاد(0.75)
liberty|ازادي(0.5),اختيار(0.25),اجازه(0.25),فاعل مختاري(0.25)
library|كتابخانه(0.75),مجموعه كتب(0.25),قرائتخانه(0.25),كتابفروشي(0.25)
libyan|ليبي(0.75)
lic|LIC(0.75)
license|پروانه(0.75),جواز(0.5),اجازه(0.5),جواز شغل(0.25),اجازه رفتن دادن(0.25),پروانه دادن(0.25),مرخص كردن(0.25)
lid|چفت(0.5),دريچه(0.5),سر پوش(0.5),كلاهك(0.5),پلك چشم(0.25),سر(0.25),كلاهك گذاشتن(0.25),دريچه گذاشتن(0.25),چفت زدن به(0.25)
lidocaine|ليدوكائين(0.75)
lie|دروغ(0.75),وضع(0.25),كذب(0.5),افتادن(0.25),چگونگي(0.25),خلاف(0.25),دروغ گفتن(0.5),دراز كشيدن(0.5),سخن نادرست گفتن(0.25),خوابيدن(0.25),ماندن(0.25),واقع شدن(0.25),قرار گرفتن(0.25),موقتا ماندن(0.25)
liena|liena(0.75)
life|زندگي(0.75),عمر(0.75),حيات(0.5),جان(0.5),رمق(0.25),مدت(0.25),دوام(0.25),دوران زندگي(0.25),حبس ابد(0.25),زيست(0.25)
lifestyle|شيوه زندگي(0.75)
lift|بلند كردن(0.5),برداشتن(0.5),بالا بردن(0.5),بالا رفتن(0.5),سرقت كردن(0.25),مرتفع بنظرامدن(0.25),يك وهله بلند كردن بار(0.25),بالابري(0.5),برخاستگي(0.25),بلندي(0.25),دزدي(0.25),سرقت(0.25),ترقي(0.25),پيشرفت(0.25),ترفيع(0.25),اسانسور(0.25),بالارو(0.25),جر ثقيل(0.25),بالا بر(0.25)
light|نور(0.75),چراغ(0.75),فانوس(0.25),پرتو(0.5),سو(0.25),اتش(0.25),كبريت(0.25),اتش زنه(0.25),لحاظ(0.25),برق چشم(0.25),وضوح(0.25),سرگرمكنندهغيرجدي(0.25),مشعل(0.25),تابش(0.25),سبك(0.75),روشن(0.75),سبك وزن(0.5),تابان(0.25),ضعيف(0.25),خفيف(0.25),اهسته(0.25),اندك(0.25),اسان(0.25),كم(0.25),چابك(0.25),بيغم و غصه(0.25),وارسته(0.25),خل(0.25),باز(0.25),بي عفت(0.25),زود گذر(0.25),سهل الهضم(0.25),كم قيمت(0.25),هوس اميز(0.25),سهل(0.25),هوس باز(0.25),روشن كردن(0.5),برق زدن(0.25),اشكار كردن(0.25),اتش زدن(0.25),اتش گرفتن(0.25),بچه زاييدن(0.25),اذرخش زدن(0.25),مشتعل شدن(0.25)
lighter|فندك(0.75),كبريت(0.25),گيرانه(0.25),قايق باري(0.25),با قايق باري كالا حمل كردن(0.25)
like|مانند(0.75),همانند(0.75),شبيه(0.5),همچون(0.5),قرين(0.25),متشابه(0.25),هم شكل(0.25),هم جنس(0.25),همگونه(0.25),مثل(0.75),مثل(0.75),چون(0.5),چنان(0.25),چنانكه(0.25),سان(0.25),نظير(0.5),دوست داشتن(0.25),دل خواستن(0.25),خوب بودن(0.25),بسان(0.25),همچنان(0.25),به تساوي(0.25)
likely|احتمالا(0.75),شايد(0.25),محتمل(0.5),احتمالي(0.5),باور كردني(0.25),راست نما(0.25)
limit|حد(0.75),وسعت(0.25),حدود(0.5),كنار(0.25),پايان(0.25),اندازه(0.25),سابقه(0.25),غايت(0.25),محدود كردن(0.75),محدود ساختن(0.5),منحصر كردن(0.25)
limitation|محدوديت(0.75),تحديد(0.5),شرط(0.25),سابقه(0.25),محدود سازي(0.25)
line|خط(0.75),رديف(0.5),سطر(0.5),مسير(0.5),مسير كهباخط كشي مشخص ميشود(0.25),رشته(0.25),بند(0.25),ريسمان(0.25),رسن(0.25),سيم(0.25),جاده(0.25),دهنه(0.25),لجام(0.25),طرح(0.25),رده(0.25),خط كشيدن(0.25),خط انداختن در(0.25),خط دار كردن(0.25),اراستن(0.25),تراز كردن(0.25),استر كردن(0.25),پوشاندن(0.25)
linger|معطل شدن(0.75),منتظر ماندن(0.5),درنگ كردن(0.5),تاخير كردن(0.5),دير رفتن(0.5),مردد بودن(0.5),دم اخر را گذراندن(0.5)
linguistic|زباني(0.75)
link|پيوند(0.75),حلقه زنجير(0.25),دانه زنجير(0.25),بند(0.25),زنجير(0.25),قلاب(0.25),پيوند دادن(0.5),بهم پيوستن(0.25),متصل كردن(0.25),جفت كردن(0.25)
linkage|پيوند(0.75),اتصال(0.5),رابطه(0.5),وسيله ارتباط(0.5),بهم پيوستگي(0.5),حلقههاي زنجير(0.25)
linoleum|مشمع كف اتاق(0.75),مشمع فرشي(0.75)
lip|لب(0.75),لبه(0.5),كنار(0.25),بيان(0.25),لبي(0.5),با لب لمس كردن(0.25),لب زدن(0.25)
liquidation|تسويه(0.75),از بين رفتن(0.5),واريز حساب(0.5),فسخ(0.5),نا بودي(0.5)
list|فهرست(0.75),فرد(0.25),سياهه(0.25),صورت(0.25),جدول(0.25),كنار(0.25),سجاف(0.25),شيار(0.25),نرده(0.25),ميدان نبرد(0.25),كجي(0.25),ريز(0.25),فهرست كردن(0.5),در فهرست وارد كردن(0.25),در ليست ثبت كردن(0.25),شيار كردن(0.25),اماده كردن(0.25),كج كردن(0.25)
listen|گوش دادن(0.75),شنيدن(0.5),پذيرفتن(0.25),استماع كردن(0.25),پيروي كردن از(0.25)
listener|شنونده(0.75),مستمع(0.5),گوش دهنده(0.25)
lit|روشن(0.75)
literacy|سواد(0.75),با سوادي(0.5),سواد خواندن ونوشتن(0.25),لفظ(0.25)
literary|ادبي(0.75),كتابي(0.25),اديبانه(0.25),اديب(0.25),وابسته به ادبيات(0.25),ادبياتي(0.25)
literature|ادبيات(0.75),نوشتجات(0.5),ادب و هنر(0.25),مواد چاپي(0.25)
litter|كجاوه(0.5),زايمان(0.5),محمل(0.5),ريخته و پاشيده(0.5),تخت روان(0.25),اشغال(0.25),اشغال پاشيدن(0.25),زاييدن(0.25)
little|كوچك(0.75),كم(0.75),معدود(0.25),اندك(0.5),خرد(0.25),ناچيز(0.25),قد كوتاه(0.25),كوتاه(0.25),مختصر(0.25),جزئي(0.25),حقير(0.25),بچگانه(0.25),درخور بچگي(0.25),پست(0.25),ريز(0.25),اندك(0.5),قدري(0.25)
live|زنده(0.75),سرزنده(0.25),موثر(0.25),داير(0.25),زندگي كردن(0.5),زيستن(0.5),منزل كردن(0.25),سكون كردن(0.25),زنده بودن(0.25)
liverpool|ليورپول(0.75)
livestock|احشام(0.75),دو اب(0.25),چارپايان اهلي(0.25)
living|زندگي(0.75),معيشت(0.5),وسيله گذران(0.25),زنده(0.75),حي(0.25),در قيد حيات(0.25),جاندار(0.25),جاودان(0.25)
ll|LL(0.75)
load|بار(0.75),محموله(0.25),كوله بار(0.25),مسئوليت(0.25),بار الكتريكي(0.25),عملكرد ماشين يا دستگاه(0.25),بار كردن(0.5),پر كردن(0.25),گرانبار كردن(0.25),بار گيري شدن(0.25),بار زدن(0.25),تفنگ يا سلاحي را پر كردن(0.25)
loamy|مثل خاك رس يا خاك(0.5)
loan|وام(0.75),قرض(0.75),قرضه(0.5),واژه عاريه(0.25),عاريه دادن(0.25),قرض كردن(0.25)
local|محلي(0.75),موضعي(0.5),مكاني(0.25),محدود بيك محل(0.25),مقامي(0.25)
locate|قرار دادن(0.5),تعيين محل كردن(0.25),مكانيابي كردن(0.25),جاي چيزي را معين كردن(0.25),تعيين كردن(0.25),معلوم كردن(0.25),مستقر ساختن(0.25)
location|محل(0.75),موقعيت(0.75),مكان(0.75),تعيين محل(0.25),جا(0.25),اندري(0.25)
loch|درياچه(0.75),خليج(0.75),شاخابه(0.75)
locomotive|لوكوموتيو(0.75),محرك(0.5),حركت دهنده(0.5),وابسته به تحرك(0.5),متحرك(0.5)
locus|مكان(0.5),مكان هندسي(0.5),مثال ادبي(0.25)
lodge|منزل(0.75),انبار(0.5),جا(0.5),كلبه(0.5),خانه(0.25),شعبه فراماسون ها(0.5),مسكن دادن(0.5),منزل دادن(0.5),پذيرايي كردن(0.5),گذاشتن(0.5),تسليم كردن(0.5),قرار دادن(0.5),منزل كردن(0.5),بيتوته كردن(0.5),به لانه پناه بردن(0.5),ساكن كردن(0.5)
lodger|مستاجر(0.75),مسافر(0.75),ساكن(0.75)
lofty|رفيع(0.75),بلند(0.75),ارجمند(0.5),عالي(0.5),بلند پايه(0.5),مرتفع(0.5),علي(0.5),بزرگ(0.25)
logic|منطق(0.75),استدلال(0.5),برهان(0.25),علم منطق(0.25)
logical|منطقي(0.75),استدلالي(0.25),عقلاني(0.25)
logistical|تداركات را تحت پوشش(0.75)
london|لندن(0.75)
loneliness|تنهايي(0.75)
lonely|تنها(0.75),خلوت(0.5),بي يار(0.25),متروك(0.25),بيغوله(0.25),بي كس(0.25)
long|بلند(0.75),طولاني(0.75),دراز(0.5),مفصل(0.25),طويل(0.25),مديد(0.25),كشيده(0.25),دير(0.25),متوالي(0.25),ژرف(0.25),اشتياق داشتن(0.25),ميل داشتن(0.25),مناسب بودن(0.25),ارزوي چيزي را داشتن(0.25),گذشته از وقت(0.25)
longer|ديگر(0.75)
look|نگاه(0.75),ظاهر(0.5),نظر(0.5),قيافه(0.25),ديدن(0.5),نگاه كردن(0.5),پاييدن(0.25),نگريستن(0.25),چشم را بكار بردن(0.25),بنظر امدن مراقب بودن(0.25),وانمود كردن(0.25)
loom|نساجي(0.75),دستگاه بافندگي(0.75),كارگاه بافندگي(0.75),جولايي(0.5),جلوهگري از دور(0.5),ازدور نمودار شدن(0.5),بزرگ جلوه كردن(0.5),پديدارازخلال ابرها(0.5),از خلال ابر يا مه پديدار شدن(0.5)
loony|ديوانه(0.75),احمق(0.75),احمق(0.75)
loop|حلقه(0.75),چنبر(0.25),طناب(0.25),حلقه طناب(0.25),گره(0.25),پيچ(0.25),چرخ(0.25),خفت(0.25),حلقه زني(0.25),حلقه دار كردن(0.25),گره زدن(0.25),پيچ خوردن(0.25)
loosen|نرم كردن(0.75),شل كردن(0.5),سست كردن(0.5),از خشكي در اوردن(0.5),لينت دادن(0.5),ضعيف كردن(0.5)
lop|با تنبلي حركت كردن(0.75),هرس كردن(0.75),سرشاخه زدن(0.5),چيدن(0.5),زدن(0.5),شلنگ برداشتن(0.5),شاخه هاي خشك را زدن(0.5),دست يا پاي كسي را بريدن(0.5),تلاطم(0.5)
lord|خداوند(0.75),ارباب(0.75),لرد(0.5),صاحب(0.5),شاهزاده(0.25),مالك(0.25),خديو(0.25),سيد(0.25),حكمروايي كردن(0.25),مانند لرد رفتار كردن(0.25),عنوان لردي دادن به(0.25)
lordship|سيادت(0.75),بزرگي(0.75),لردي(0.5),اربابي(0.5),اقايي(0.5)
los|لس(0.75)
lose|از دست دادن(0.75),گم كردن(0.25),مفقود كردن(0.25),تلف كردن(0.25),زيان كردن(0.25),باختن(0.25),شكست خوردن(0.25)
losing|شكست(0.5)
loss|ضرر(0.75),زيان(0.5),خسارت(0.5),فقدان(0.5),اتلاف(0.5),عدم(0.5),باخت(0.5),گمراهي(0.25),خسار(0.25),مرگ(0.25),خدشه(0.25),خسران(0.25),ضلالت(0.25)
lot|خيلي(0.5),بسيار(0.5),بسي(0.25),قطعه(0.5),چندين(0.25),قواره(0.25),تكه(0.25),سهم(0.25),قسمت(0.25),بخش(0.25),بهره(0.25),سرنوشت(0.25),پارچه(0.25),توده انبوه(0.25),قرعه(0.25),محوطه(0.25),قطعه زمين(0.25),جنس عرضه شده براي فروش(0.25),كالا(0.25),بخش كردن(0.25),سهم بندي كردن(0.25),تقسيم بندي كردن(0.25),جور كردن(0.25)
love|عشق(0.75),محبت(0.5),مهر(0.25),معشوقه(0.25),مهرباني(0.25),خاطرخواهي(0.25),دوست داشتن(0.5),عشق داشتن(0.25)
loveless|بي عشق(0.75)
low|كم(0.75),پايين(0.75),پست(0.25),اهسته(0.25),پست ومبتذل(0.25),افتاده(0.25),اندك(0.25),فروتن(0.25),محقر(0.25),پايين(0.75),پايين(0.75),صداي گاو(0.25),صداي گاو كردن(0.25)
lower|پايين تر(0.75),هواي گرفته و ابري(0.25),پست تر(0.25),پايين اوردن(0.25),تخفيف دادن(0.25),فروكش كردن(0.25),كاستن از(0.25),تنزل دادن(0.25),اخم كردن(0.25),خرد شدن(0.25),اخم(0.25),ترشرويي(0.25)
lp|LP(0.75)
luck|شانس(0.75),بخت(0.5),اقبال(0.5),طالع(0.25),توفيق(0.25),سعادت(0.25),سعد كوفي(0.25),خوش بختي(0.25)
luckily|خوشبختانه(0.75)
lucky|خوش شانس(0.75),خوشبخت(0.75),خوش اقبال(0.5),خوش يمن(0.25),خوش قدم(0.25),خوشحال(0.5),خجسته(0.25),بختيار(0.25),بانوا(0.25),سفيدبخت(0.25)
lucy|لوسي(0.75)
lumbering|lumbering(0.75)
lumumba|لومومبا(0.75)
lunch|ناهار(0.75),ظهرانه(0.25),ناهار خوردن(0.25)
lush|با شكوه(0.75),شاداب(0.5),پر اب(0.25),ابدار(0.25),الكلي(0.25),پر پشت(0.25),مست كردن(0.25),مشروبخوار(0.25),ميگسار(0.25)
luther|لوتر(0.75)
luxurious|مجلل(0.75),خوش گذران(0.5),پرنعمتي(0.25),داراي زندگي تجملي(0.25)
luxury|نعمت(0.5),تجمل عياشي(0.25),عيش(0.25)
lyric|موسيقي يا شعربزمي(0.5)
m|متر(0.75)
macedonia|مقدونيه(0.75)
machine|ماشين(0.75),دستگاه(0.75),ماشين كردن(0.25),با ماشين رفتن(0.25)
machinery|دستگاه(0.5),ماشين الات(0.5),ماشين ها(0.25),تشكيلات و سازمان(0.25)
machining|ماشينكاري(0.75)
mad|ديوانه(0.75),از جا در رفته(0.75),عصباني(0.5),شيفته(0.25),خل(0.25),مجنون(0.25)
made|ساخته(0.75),مصنوع(0.25),تربيت شده(0.25),معمول(0.25)
madness|ديوانگي(0.75),عصبانيت(0.5)
madrid|مادريد(0.75)
mafia|مافياي(0.75)
magazine|مجله(0.75),مخزن(0.25),انبار مهمات(0.25),خزانه(0.25),خشاب اسلحه(0.25)
maggie|مگي(0.75)
magic|جادو(0.75),سحر(0.75),فريب(0.25),ساحري(0.25),جادويي(0.75),سحر اميز(0.25),سحري(0.25),وابسته به سحر و جادو(0.25)
magistrate|دادرس(0.75),حاكم(0.5),رئيس كلانتري(0.25),رئيس بخش دادگاه(0.25)
magnetic|مغناطيسي(0.75)
magnetometer|مغناطيس(0.75)
magnificent|مجلل(0.75)
mail|پست(0.75),زره(0.25),جوشن(0.25),چاپار(0.25),پستي(0.5),زرهدار كردن(0.25),با پست فرستادن(0.25)
mailing|پستي(0.75)
mailshot|mailshot(0.75)
main|اصلي(0.75),عمده(0.75),مهم(0.5),نيرومند(0.25),تمام(0.25),كامل(0.25),با اهميت(0.25),دريا(0.25)
mainly|به طور عمده(0.75)
mainstay|نقطه اتكا(0.5),تكيهگاه اصلي(0.5),وابستگي عمده(0.5)
mainstream|مسير اصلي(0.5),راه اصلي جويبار(0.25),مسير جويباري كه دران اب جريان دارد(0.25)
maintain|نگه داشتن(0.5),حفظ كردن(0.25),برقرار داشتن(0.25),ابقا كردن(0.25),ادامه دادن(0.25),حمايت كردن از(0.25),مدعي بودن(0.25),نگه داري كردن(0.25)
maintaining|حفظ(0.75)
maintenance|نگهداري(0.75),تعمير(0.5),نگهداشت(0.5),عمل تميز كردن وپاك كردن(0.25),قوت(0.25),گذران(0.25),ابقا(0.25)
maize|ذرت(0.75),بلال(0.25)
majestic|با شكوه(0.75),با عظمت(0.5),شاهانه(0.5),بزرگ(0.5),خسرواني(0.25)
major|عمده(0.75),بزرگ(0.75),مهاد(0.25),اكبر(0.25),بزرگتر(0.25),بيشتر(0.25),اعظم(0.25),كبير(0.25),ارشد(0.25),بالغ(0.25),بيشين(0.25),سرگرد(0.5),متخصص شدن(0.25)
majority|اكثريت(0.75),بيشان(0.25)
make|ساخت(0.75),نظير(0.25),ساختمان(0.25),ساختن(0.5),درست كردن(0.25),تاسيس كردن(0.25),ايجاد كردن(0.25),بوجود اوردن(0.25),تصنيف كردن(0.25),باعي شدن(0.25),وادار يا مجبور كردن(0.25),گاييدن(0.25),انجام دادن(0.25)
maker|سازنده(0.75),خالق(0.5)
making|ساخت(0.75),ساختمان(0.25),مايه كاميابي(0.25),تركيب(0.25)
malaysian|مالزي(0.75)
male|نر(0.75),جنس نر(0.5),مردانه(0.5),مذكر(0.5),نرينه(0.25),نرين(0.25),گشن(0.25)
mama|مامان(0.75),مادر(0.75)
mammoth|ماموت(0.75),فيل بزرگ دوره ماقبل تاريخ(0.5)
man|مرد(0.75),شخص(0.5),انسان(0.75),مردي(0.75),بشر(0.5),فرد(0.5),ادم(0.5),نفر(0.5),نوكر(0.25),شوهر(0.25),مهره شطرنج(0.25),ادمي(0.25),رفيق(0.25),اداره كردن(0.25),گرداندن(0.25)
manage|اداره كردن(0.5),مباشرت كردن(0.25),ضبط كردن(0.25),گرداندن(0.25),از پيش بردن(0.25),سرپرستي كردن(0.25),اسب اموخته(0.25)
management|اداره(0.5),مديران(0.5),تصدي(0.25),مدريت(0.25),ترتيب(0.25),كارفرمايي(0.25)
manager|مدير(0.75),متصدي(0.25),رئيس(0.25),ضابط(0.25),مباشر(0.25),كارفرمان(0.25)
manageress|manageress(0.75)
managerial|مديريتي(0.75)
manages|مديريت(0.75),اداره كردن(0.5),مباشرت كردن(0.25),ضبط كردن(0.25),گرداندن(0.25),از پيش بردن(0.25),سرپرستي كردن(0.25)
manchester|منچستر(0.75)
mandate|فرمان(0.75),حكم(0.75),تعهد(0.5),قيمومت(0.5),اختيار(0.5),وكالتنامه(0.25)
mandatory|اجباري(0.75),الزامي(0.75),الزام اور(0.25)
manicure|مانيكور(0.75),مانيكور زدن(0.25),ارايش كردن(0.25)
manifestly|اشكارا(0.75)
manner|روش(0.75),ادب(0.25),قسم(0.25),نوع(0.25),چگونگي(0.5),طور(0.5),رفتار(0.5),طرز(0.5),طريق(0.5),راه(0.25),طريقه(0.25),رسوم(0.25),تربيت(0.25),سليقه(0.25),عنوان(0.25),سبك(0.25),فن(0.25),طرز عمل(0.25),سان(0.25),سياق(0.25),مسلك(0.25)
manpower|نيروي انساني(0.75),مشمولين نظام(0.25),نيروي مردانه(0.25),تعداد اشخاص مورد استفاده(0.25)
manual|دستي(0.75),وابسته بدست(0.25),انجام شده با دست(0.25),كتاب راهنما(0.25),كتاب دستي(0.25),نظام نامه(0.25)
manufacture|ساخت(0.75),توليد(0.75),ساختن(0.5),جعل كردن(0.25),توليد كردن(0.25),عمل اوردن(0.25)
manufacturer|توليد كننده(0.75),سازنده(0.75),صاحب كارخانه(0.25)
manufacturing|ساخت(0.75)
many|بسياري(0.75),گروه(0.25),خيلي(0.5),چندين(0.5),بسيار(0.5),زياد(0.5),بسا(0.25),چندين(0.5),متعدد(0.5),فراوان(0.5)
map|نقشه(0.75),نگاشت(0.5),نقشه كشيدن(0.25),نگاشتن(0.25),ترسيم كردن(0.25)
mar|اسيب(0.5),اسيب رساندن(0.5),زيان رساندن(0.5),معيوب كردن(0.5),ناقص كردن(0.5),بي اندام كردن(0.5),صدمه زدن(0.5),ضايع كردن(0.5)
march|مارس(0.75),راه پيمايي(0.75),قدم رو(0.5),قدم برداري(0.25),گام نظامي(0.25),موسيقي نظامي يا مارش(0.25),روش(0.25),پيش روي(0.25),پيشرفت كردن(0.25),راهپيمايي كردن(0.25),قدم رو كردن(0.25),نظامي وار راه رفتن(0.25),پيشروي كردن(0.25),تاختن بر(0.25)
mareth|mareth(0.75)
margin|حاشيه(0.75),لبه(0.5),كنار(0.25),تفاوت(0.5),حد(0.5),بودجه احتياطي(0.25),حاشيه دار كردن(0.25)
margot|مارگوت(0.75)
marine|دريايي(0.75),بحري(0.25),وابسته به دريانوردي(0.25),تفنگدار دريايي(0.5)
maritime|دريايي(0.75),بحري(0.25),وابسته به بازرگاني دريايي(0.25),وابسته بدريانوردي(0.25)
mark|علامت(0.75),نشانه(0.75),مارك(0.5),نشان(0.5),نمره(0.5),مرز(0.5),حد(0.25),داغ(0.25),هدف(0.25),پايه(0.25),نقطه(0.25),درجه(0.25),علامت مخصوص(0.25),مدل مخصوص(0.25),چوب خط(0.25),خط شروع مسابقه(0.25),علامت سلاح(0.25),خط(0.25),علامت گذاردن(0.25),نشان كردن(0.25),علامت گذاشتن(0.25),توجه كردن(0.25)
market|بازار(0.75),محل داد وستد(0.25),مركز تجارت(0.25),به بازار عرضه كردن(0.25),فروختن(0.25),در بازار داد و ستد كردن(0.25),در معرض فروش قرار دادن(0.25)
marketing|بازار يابي(0.5),علم فروش(0.25)
marking|علامت گذاري(0.75),نشان(0.5),علامت سلاح(0.25),نشاندار سازي(0.25)
marlow|مارلو(0.75)
marriage|ازدواج(0.75),عروسي(0.5),جشن عروسي(0.25),زناشويي(0.5),نكاح(0.5),يگانگي(0.25),اتحاد(0.25),پيمان ازدواج(0.25)
marry|ازدواج كردن(0.5),عروسي كردن(0.25),شوهر دادن(0.25)
martin|ادم گول خور(0.5)
mary|مريم(0.75)
mass|توده(0.75),حجم(0.5),جرم(0.75),انبوه(0.75),مراسم عشا رباني(0.25),كپه(0.25),گروه(0.25),جمع(0.25),قسمت عمده(0.25),توده مردم(0.25),جمع اوري كردن(0.25)
massage|ماساژ(0.75),مشت و مال(0.25),ماساژ دادن(0.5),مشتمال دادن(0.25),مشت و مال دادن(0.25)
massive|عظيم(0.75),بزرگ(0.5),كلان(0.5),حجيم(0.5),گنده(0.25)
master|استاد(0.75),ارباب(0.5),صاحب(0.5),سرور(0.5),دانشور(0.25),چيره دست(0.25),كارفرما(0.25),رئيس(0.25),مدير(0.25),پير(0.25),سرامد(0.25),سيد(0.25),استاد شدن(0.5),ماهر شدن(0.25),خوب ياد گرفتن(0.25),تسلط يافتن بر(0.25),رام كردن(0.25),چيره دست(0.25),برجسته(0.25)
mat|حصير(0.75),زير بشقابي(0.5),بوريا(0.5),كفش پاك كن(0.5),زير گلداني(0.5),پادري(0.25),با حصير پوشاندن(0.75),بوريا پوش كردن(0.5),در هم گير كردن(0.25)
mate|همسر(0.75),جفت(0.75),رفيق(0.5),مات(0.5),لنگه(0.5),همدم(0.5),دوست(0.5),كمك(0.25),شاگرد(0.25),شاه مات كردن(0.25),جفت گيري يا عمل جنسي كردن(0.25)
material|ماده(0.75),جنس(0.75),جسم(0.25),مادي(0.75),جسماني(0.25),جسمي(0.25),كلي(0.25),اساسي(0.25),اصولي(0.25),مقتضي(0.25)
mathematical|رياضي(0.75),وابسته به رياضيات(0.25)
mathematically|رياضي(0.75)
matta|مته(0.75)
matter|ماده(0.75),موضوع(0.75),چيز(0.25),اهميت(0.5),امر(0.5),مطلب(0.5),جسم(0.25),ذات(0.25),ماهيت(0.25),جوهر(0.25),نكته(0.25),خيم(0.25),مهم بودن(0.25),اهميت داشتن(0.25)
maximize|بزرگ كردن(0.5),بيشينه ساختن(0.5),به اخرين درجه ممكن افزايش دادن(0.25),بحد اعلي رساندن(0.25)
may|ممكن است(0.75),ميتوان(0.5),امكان داشتن(0.25),توانايي داشتن(0.25),قادر بودن(0.25),ايكاش(0.25)
me|مرا(0.75),به من(0.75),خودم(0.5),بمن(0.25)
meal|غذا(0.75),خوراكي(0.25),شام يا نهار(0.25),ارد بلغور(0.25),طعمه(0.25),طعام(0.25),غذا خوردن(0.5),خوراك دادن(0.25),خوراندن(0.25)
mean|ميانگين(0.75),حد وسط(0.25),اعتدال(0.25),منابع درامد(0.25),متوسط(0.75),مياني(0.25),خسيس(0.25),وسطي(0.25),واقع در وسط(0.25),پست فطرت(0.25),بدجنس(0.25),بد(0.25),پست(0.25),اب زير كاه(0.25),قصد داشتن(0.25),مقصود داشتن(0.25),هدف داشتن(0.25),معني ومفهوم خاصي داشتن(0.25)
meaning|معني(0.75),مفهوم(0.75),ارش(0.25),مفاد(0.25),فحوا(0.25),مقصود(0.25),منظور(0.25),مراد(0.25)
meant|به معناي(0.75)
meantime|در ضمن(0.75),ضمنا(0.5),در اين ضمن(0.25),در اثنا(0.25),در خلال(0.25),ضمائم(0.25)
meanwhile|ضمنا(0.5),در ضمن(0.5),در اثنا(0.5),در اين ضمن(0.25),در خلال(0.25)
measure|اندازه(0.75),درجه(0.25),اقدام(0.75),ميزان(0.5),مقياس(0.5),مقدار(0.5),حد(0.5),پيمانه(0.5),تدبير(0.25),واحد(0.25),پايه(0.25),وزن شعر(0.25),بحر(0.25),اندازه گرفتن(0.5),پيمانه كردن(0.25),سنجيدن(0.25),اندازه نشان دادن(0.25),اندازه داشتن(0.25),پيمودن(0.25),در امدن(0.25)
measurement|اندازه گيري(0.75),سنجش(0.75),اندازه(0.75)
mechanical|مكانيكي(0.75),ماشيني(0.5),غير فكري(0.25),هنرور(0.25)
medal|مدال(0.75),نشان(0.5),نشاني شبيه سكه(0.25),شكل(0.25)
medallion|مداليون(0.75),مدال بزرگ(0.75)
medical|پزشكي(0.75),طبي(0.5),دارويي(0.5),دوايي(0.25),شفابخش(0.25)
medicine|پزشكي(0.75),طب(0.75),دارو(0.75),علم علاج(0.25),دوا(0.25),علم طب(0.25)
medieval|قرون وسطي(0.75),قرون وسطايي(0.75),مربوط به قرون وسطي(0.25)
mediterranean|درياي مديترانه(0.75)
medium|متوسط(0.75),معتدل(0.25),نيم پز(0.25),رسانه(0.75),محيط كشت(0.5),واسطه(0.5),وسيله(0.5)
meehan|meehan(0.75)
meet|مواجه شدن(0.5),مصادف شدن با(0.25),برخورد كردن(0.25),يافتن(0.25),ملاقات كردن(0.25),تقاطع كردن(0.25),پيوستن(0.25),مواجه شدن با(0.25),تلاقي كردن(0.25),نشست(0.5),تقاطع(0.5),جلسه(0.5),اشتراك(0.25),نشست گاه(0.25),مناسب(0.25),مقتضي(0.25),دلچسب(0.25),شايسته(0.25),در خور(0.25)
meeting|جلسه(0.75),نشست(0.75),ملاقات(0.75),مجمع(0.5),برخورد(0.5),ميتينگ(0.5),انجمن(0.25),اجتماع(0.25),تلاقي(0.25),جماعت همراهان(0.25),جماعت(0.25),اجماع(0.25),هم ايش(0.25),متلاقي(0.25)
mega|مگا(0.75)
melies|melies(0.75)
melt|گداز(0.5),ذوب كردن(0.5),اب شدن(0.25),گداختن(0.25),ريختن(0.25)
melting|ذوب(0.75)
member|عضو(0.75),اندام(0.25),كارمند(0.25),شعبه(0.25),بخش(0.25),جز(0.25)
membership|عضويت(0.75)
memory|حافظه(0.75),خاطره(0.5),ياد(0.5),يادگار(0.25),يادبود(0.25),خاطر(0.25)
men|مردها(0.5),جنس ذكور(0.25)
menopause|يائسگي(0.75)
menstrual|وابسته به قاعده گي(0.75)
mental|رواني(0.75),روحي(0.5),فكري(0.5),مغزي(0.5),دماغي(0.25),هوشي(0.25),معنوي(0.25)
mentally|از نظر رواني(0.5),فكرا(0.25),روحا(0.25)
mention|ذكر(0.75),اشاره(0.75),تذكر(0.5),يادكرد(0.25),ياداوري(0.25),نام بردن(0.25),اشاره كردن(0.25),ذكر كردن(0.25)
menu|منو(0.75),فهرست خوراك(0.25),فهرست انتخاب(0.25),صورت غذا(0.25)
mercenary|سرباز مزدور(0.5),ادم اجير(0.5),پولكي(0.5),مغرض(0.5),قابل فروش(0.5)
mere|محض(0.75),دريا(0.25),اب راكد(0.25),مرداب(0.25)
merely|تنها(0.75),فقط(0.75),محضا(0.25)
merit|شايستگي(0.75),لياقت(0.5),استحقاق(0.5),سزاواري(0.25),خدمت(0.25),شايسته بودن(0.25),استحقاق داشتن(0.25),سزاوار بودن(0.25)
message|پيام(0.75),پيغام(0.75),خط(0.25),پيغام دادن(0.25),رسالت كردن(0.25)
